date,BYR,USD,EUR,KZT,UAH,AZN,KGS,UZS,GEL,BYN
01/01/2003,16.4252,31.7844,33.2719,0.203925,5.9419,,,,,
01/02/2003,16.2562,31.8345,34.429,0.205576,5.94182,,,,,
01/03/2003,15.9887,31.5729,33.9409,0.208194,5.89454,,,,,
01/04/2003,15.6963,31.3801,33.9815,0.206202,5.85471,,,,,
01/05/2003,15.331,31.1021,34.5513,0.204875,5.77205,,,,,
01/06/2003,15.0078,30.709,36.4669,0.204125,5.63882,,,,,
01/07/2003,14.7152,30.3809,34.7223,0.205946,5.64921,,,,,
01/08/2003,14.5704,30.2791,34.3395,0.206358,5.64751,,,,,
01/09/2003,14.5172,30.5036,33.2001,0.206829,5.67055,,,,,
01/10/2003,14.4789,30.6142,35.6043,0.205656,5.67897,,,,,
01/11/2003,14.0383,29.9451,34.7992,0.202923,5.55465,,,,,
01/12/2003,13.8432,29.7387,35.5021,0.202809,5.51687,,,,,
01/01/2004,13.5751,29.4545,37.0979,0.20567,5.474,,,,,
01/02/2004,13.1915,28.4937,35.3635,0.204323,5.27896,,,,,
01/03/2004,13.2329,28.5156,35.5076,0.205098,5.2939,,,,,
01/04/2004,13.261,28.5151,34.9082,0.205346,5.2941,,,,,
01/05/2004,13.4213,28.9612,34.6289,0.209668,5.40129,,,,,
01/06/2004,13.446,28.9993,35.3907,0.21172,5.43363,,,,,
01/07/2004,13.4428,29.0471,35.0889,0.213679,5.443,,,,,
01/08/2004,13.4552,29.1019,35.0532,0.213478,5.455,,,,,
01/09/2004,13.5205,29.2591,35.3713,0.214521,5.47267,,,,,
01/10/2004,13.4572,29.2224,36.0312,0.217488,5.43157,,,,,
01/11/2004,13.2084,28.7655,36.6472,0.217885,5.34595,,,,,
01/12/2004,12.8957,28.1496,37.3264,0.216452,5.25728,,,,,
01/01/2005,12.7492,27.7487,37.8409,0.213438,5.12337,,,,,
01/02/2005,12.9161,28.1136,36.5899,0.216228,5.28382,,,,,
01/03/2005,12.8099,27.7007,36.72,0.212837,5.22822,,,,,
01/04/2005,12.9155,27.8548,36.0274,0.210235,5.32108,,,,,
01/05/2005,12.8987,27.7726,36.0072,0.211391,5.46974,,,,,
01/06/2005,13.1016,28.1946,34.9134,0.21324,5.55559,,,,,
01/07/2005,13.3038,28.6282,34.6258,0.21209,5.67558,,,,,
01/08/2005,13.3166,28.6341,34.716,0.210728,5.6852,,,,,
01/09/2005,13.2644,28.5566,34.879,0.211038,5.65612,,,,,
01/10/2005,13.2558,28.5348,34.3074,0.213347,5.59429,,,,,
01/11/2005,13.2476,28.503,34.3946,0.212574,5.54059,,,,,
01/12/2005,13.3818,28.7792,33.9393,0.214631,5.66375,,,,,
01/01/2006,13.3634,28.7825,34.185,0.215337,5.67232,,,,,
01/02/2006,13.0756,28.1305,34.0492,0.213002,5.49284,,,,,
01/03/2006,13.0665,28.1211,33.3291,0.215807,5.50315,,,,,
01/04/2006,12.8746,27.6996,33.6273,0.215729,5.42258,,,,,
01/05/2006,12.6848,27.2739,34.1906,0.21917,5.37279,,,,,
01/06/2006,12.5603,26.9355,34.7064,0.222155,5.38301,,,,,
